rezervasyon_no,sezon,iade_kosulu,kac_gun_once,gece_sayisi,oda_fiyati,onceki_iptal_sayisi,iptal_edildi
9419,Yaz,İade Edilebilir,2,3,4470.0,0,Hayır
9420,İlkbahar,İade Edilebilir,77,5,3190.0,0,Evet
9421,Yaz,İade Edilemez,124,9,4440.0,5,Hayır
9422,Yaz,İade Edilebilir,76,1,4160.0,1,Evet
9423,Kış,İade Edilemez,69,4,2240.0,4,Hayır
9424,Yaz,İade Edilemez,3,6,1910.0,1,Hayır
9425,Kış,İade Edilebilir,2,2,2380.0,1,Hayır
9426,Sonbahar,İade Edilebilir,57,2,2010.0,2,Evet
9427,Yaz,İade Edilebilir,39,1,3870.0,3,Evet
9428,İlkbahar,İade Edilemez,44,5,2200.0,3,Hayır
9429,Yaz,İade Edilebilir,13,3,2830.0,0,Hayır
9430,Yaz,İade Edilebilir,41,4,3420.0,1,Hayır
9431,Yaz,İade Edilemez,10,2,4260.0,4,Hayır
9432,Kış,İade Edilebilir,14,3,2790.0,1,Hayır
9433,Yaz,İade Edilemez,38,6,3360.0,2,Hayır
9434,Yaz,İade Edilebilir,140,3,3170.0,1,Evet
9435,Sonbahar,İade Edilebilir,112,5,3220.0,2,Evet
9436,Kış,İade Edilebilir,34,6,1180.0,0,Hayır
9437,Yaz,İade Edilemez,45,3,5250.0,0,Hayır
9438,Yaz,İade Edilebilir,11,4,3840.0,0,Evet
9439,Yaz,İade Edilemez,140,6,3180.0,0,Hayır
9440,Kış,İade Edilebilir,126,6,2490.0,0,Evet
9441,Yaz,İade Edilemez,2,7,,4,Hayır
9442,İlkbahar,İade Edilebilir,35,3,1400.0,5,Evet
9443,İlkbahar,İade Edilebilir,15,3,,0,Hayır
9444,Sonbahar,İade Edilemez,48,11,2000.0,2,Hayır
9445,İlkbahar,İade Edilebilir,18,3,3440.0,1,Hayır
9446,Yaz,İade Edilebilir,95,4,3530.0,3,Hayır
9447,Yaz,İade Edilemez,130,10,2700.0,0,Hayır
9448,Yaz,İade Edilemez,143,1,4150.0,2,Hayır
9449,Yaz,İade Edilebilir,52,2,4450.0,0,Hayır
9450,Sonbahar,İade Edilebilir,8,1,3670.0,1,Hayır
9451,Yaz,İade Edilemez,99,7,5010.0,0,Hayır
9452,Yaz,İade Edilebilir,7,12,4290.0,0,Hayır
9453,Sonbahar,İade Edilemez,83,3,2030.0,0,Hayır
9454,Yaz,İade Edilemez,46,4,3440.0,0,Hayır
9455,Yaz,İade Edilebilir,16,5,,1,Hayır
9456,İlkbahar,İade Edilemez,22,1,1820.0,1,Hayır
9457,Yaz,İade Edilebilir,11,2,3610.0,2,Hayır
9458,İlkbahar,İade Edilemez,22,4,800.0,2,Evet
9459,Yaz,İade Edilemez,30,1,3930.0,4,Hayır
9460,İlkbahar,İade Edilebilir,50,2,2380.0,1,Hayır
9461,Yaz,İade Edilemez,207,6,5600.0,0,Hayır
9462,Yaz,İade Edilebilir,88,4,4330.0,1,Evet
9463,Yaz,İade Edilebilir,31,1,3460.0,0,Evet
9464,İlkbahar,İade Edilemez,37,1,2800.0,0,Hayır
9465,Sonbahar,İade Edilebilir,1,4,1340.0,0,Hayır
9466,İlkbahar,İade Edilemez,6,1,1980.0,0,Hayır
9467,Sonbahar,İade Edilebilir,21,2,890.0,1,Hayır
9468,Sonbahar,İade Edilemez,48,3,3210.0,0,Hayır
9469,Yaz,İade Edilemez,30,6,4220.0,1,Hayır
9470,Yaz,İade Edilebilir,119,2,2980.0,0,Evet
9471,Kış,İade Edilemez,84,2,1760.0,0,Hayır
9472,İlkbahar,İade Edilemez,6,3,3060.0,0,Hayır
9473,Sonbahar,İade Edilemez,50,2,2550.0,5,Hayır
9474,Yaz,İade Edilebilir,78,2,4070.0,1,Evet
9475,Yaz,İade Edilebilir,32,8,3200.0,0,Hayır
9476,Yaz,İade Edilemez,60,9,3350.0,1,Hayır
9477,Yaz,İade Edilebilir,67,4,3870.0,2,Evet
9478,Yaz,İade Edilemez,55,4,4440.0,0,Hayır
9479,Yaz,İade Edilebilir,19,4,3220.0,0,Hayır
9480,İlkbahar,İade Edilemez,24,7,1620.0,0,Hayır
9481,İlkbahar,İade Edilebilir,3,2,3200.0,1,Hayır
9482,İlkbahar,İade Edilemez,32,6,1750.0,2,Hayır
9483,Yaz,İade Edilemez,41,5,4550.0,0,Hayır
9484,Sonbahar,İade Edilemez,56,9,2370.0,0,Hayır
9485,İlkbahar,İade Edilebilir,13,6,3020.0,0,Hayır
9486,Yaz,İade Edilebilir,57,2,5020.0,1,Hayır
9487,İlkbahar,İade Edilebilir,11,4,2880.0,0,Hayır
9488,Yaz,İade Edilebilir,16,4,4340.0,1,Hayır
9489,Sonbahar,İade Edilebilir,64,1,1560.0,2,Evet
9490,Sonbahar,İade Edilemez,24,2,1710.0,2,Hayır
9491,İlkbahar,İade Edilemez,155,1,2850.0,1,Hayır
9492,İlkbahar,İade Edilebilir,7,1,3470.0,0,Hayır
9493,Sonbahar,İade Edilemez,19,5,3170.0,0,Hayır
9494,Yaz,İade Edilemez,51,1,5420.0,0,Hayır
9495,Yaz,İade Edilebilir,60,3,4020.0,1,Hayır
9496,Kış,İade Edilemez,6,2,1940.0,0,Hayır
9497,Sonbahar,İade Edilemez,10,6,2900.0,0,Hayır
9498,İlkbahar,İade Edilemez,69,4,2410.0,4,Hayır
9499,Yaz,İade Edilebilir,138,4,3760.0,3,Evet
9500,İlkbahar,İade Edilemez,129,5,1670.0,0,Hayır
9501,Yaz,İade Edilemez,137,3,4490.0,2,Hayır
9502,Sonbahar,İade Edilebilir,3,1,1450.0,0,Hayır
9503,Sonbahar,İade Edilemez,16,3,2560.0,0,Hayır
9504,Yaz,İade Edilebilir,36,4,2810.0,5,Hayır
9505,Yaz,İade Edilebilir,13,3,4570.0,4,Hayır
9506,Yaz,İade Edilemez,84,4,3080.0,1,Hayır
9506,Yaz,İade Edilemez,84,4,3080.0,1,Hayır
9507,İlkbahar,İade Edilemez,60,1,2990.0,2,Hayır
9508,Yaz,İade Edilemez,222,4,2690.0,0,Hayır
9509,İlkbahar,İade Edilebilir,30,11,2090.0,3,Evet
9510,İlkbahar,İade Edilebilir,54,1,3220.0,0,Hayır
9511,Yaz,İade Edilemez,100,1,3240.0,0,Hayır
9512,Yaz,İade Edilebilir,92,14,3850.0,0,Evet
9513,Kış,İade Edilebilir,7,5,1470.0,1,Hayır
9514,Yaz,İade Edilebilir,125,9,2180.0,1,Evet
9515,Sonbahar,İade Edilemez,35,7,2420.0,3,Hayır
9516,Yaz,İade Edilebilir,42,1,4100.0,0,Hayır
9517,Kış,İade Edilemez,0,8,1020.0,2,Hayır
9518,Yaz,İade Edilemez,226,4,4200.0,4,Hayır
9519,İlkbahar,İade Edilemez,34,2,1840.0,2,Hayır
9520,Yaz,İade Edilemez,34,5,3100.0,0,Hayır
9521,İlkbahar,İade Edilemez,6,4,2400.0,0,Hayır
9522,Yaz,İade Edilebilir,48,4,3320.0,0,Hayır
9523,İlkbahar,İade Edilebilir,69,1,4000.0,0,Evet
9524,Yaz,İade Edilemez,115,11,2710.0,2,Hayır
9525,Yaz,İade Edilebilir,23,3,4320.0,0,Hayır
9526,Yaz,İade Edilemez,140,6,4490.0,0,Hayır
9527,İlkbahar,İade Edilemez,2,1,1010.0,0,Hayır
9528,Sonbahar,İade Edilebilir,25,1,990.0,1,Hayır
9529,İlkbahar,İade Edilebilir,4,4,2790.0,0,Hayır
9530,İlkbahar,İade Edilemez,41,5,2060.0,2,Hayır
9531,İlkbahar,İade Edilemez,11,2,2670.0,1,Evet
9532,Kış,İade Edilebilir,8,5,2600.0,0,Hayır
9533,Yaz,İade Edilebilir,12,2,3540.0,1,Hayır
9534,Yaz,İade Edilebilir,24,2,3060.0,0,Hayır
9535,Yaz,İade Edilebilir,72,2,1890.0,1,Evet
9536,İlkbahar,İade Edilebilir,42,1,2540.0,1,Hayır
9537,Kış,İade Edilebilir,7,1,1150.0,0,Hayır
9538,İlkbahar,İade Edilebilir,25,3,2620.0,0,Hayır
9539,Yaz,İade Edilebilir,85,6,3960.0,2,Evet
9540,Yaz,İade Edilebilir,59,5,2830.0,3,Evet
9541,Sonbahar,İade Edilebilir,121,12,3410.0,3,Evet
9542,Yaz,İade Edilebilir,220,3,4560.0,1,Evet
9543,Yaz,İade Edilebilir,9,4,4390.0,3,Hayır
9544,Yaz,İade Edilemez,109,2,2970.0,0,Hayır
9545,Yaz,İade Edilemez,148,3,3510.0,5,Hayır
9546,İlkbahar,İade Edilebilir,87,6,2020.0,0,Evet
9547,İlkbahar,İade Edilebilir,94,4,2110.0,3,Evet
9548,Yaz,İade Edilebilir,43,1,3010.0,2,Evet
9549,Yaz,İade Edilemez,47,1,4100.0,0,Hayır
9550,Kış,İade Edilebilir,9,2,1960.0,2,Hayır
9551,Yaz,İade Edilebilir,13,1,4060.0,4,Hayır
9552,Yaz,İade Edilemez,192,1,3450.0,0,Hayır
9553,Kış,İade Edilemez,35,3,2700.0,1,Hayır
9554,Kış,İade Edilemez,15,1,1930.0,0,Hayır
9555,Kış,İade Edilebilir,7,2,800.0,1,Hayır
9556,İlkbahar,İade Edilebilir,1,4,1950.0,0,Hayır
9557,Sonbahar,İade Edilebilir,31,1,2160.0,1,Hayır
9558,Kış,İade Edilebilir,24,5,2480.0,0,Hayır
9559,İlkbahar,İade Edilebilir,246,1,2190.0,0,Evet
9560,Kış,İade Edilebilir,26,1,1620.0,3,Evet
9561,Yaz,İade Edilebilir,13,2,3340.0,0,Hayır
9562,Kış,İade Edilebilir,2,2,2270.0,4,Hayır
9563,Yaz,İade Edilebilir,164,2,3490.0,1,Evet
9564,Kış,İade Edilebilir,4,7,1380.0,0,Evet
9565,İlkbahar,İade Edilebilir,20,3,1880.0,4,Hayır
9566,Sonbahar,İade Edilemez,2,2,2590.0,0,Hayır
9567,İlkbahar,İade Edilebilir,4,4,2030.0,1,Hayır
9568,Yaz,İade Edilemez,89,4,2630.0,4,Hayır
9569,İlkbahar,İade Edilebilir,24,1,2840.0,4,Evet
9570,İlkbahar,İade Edilebilir,43,2,1910.0,1,Hayır
9571,Sonbahar,İade Edilebilir,79,2,2450.0,0,Evet
9572,Kış,İade Edilebilir,16,1,2060.0,1,Hayır
9573,Sonbahar,İade Edilemez,49,3,3040.0,0,Hayır
9574,Sonbahar,İade Edilebilir,54,2,2930.0,0,Hayır
9575,Yaz,İade Edilebilir,24,3,,0,Hayır
9576,Kış,İade Edilemez,73,3,1680.0,0,Hayır
9577,Yaz,İade Edilemez,134,2,2900.0,0,Hayır
9578,Yaz,İade Edilebilir,108,7,4970.0,2,Evet
9579,Yaz,İade Edilebilir,41,3,4110.0,0,Hayır
9580,İlkbahar,İade Edilebilir,101,2,3380.0,1,Evet
9581,Sonbahar,İade Edilebilir,37,3,1980.0,0,Hayır
9582,Sonbahar,İade Edilebilir,49,7,800.0,1,Hayır
9583,Kış,İade Edilebilir,13,1,2870.0,1,Hayır
9584,İlkbahar,İade Edilemez,20,5,2470.0,1,Hayır
9585,Kış,İade Edilebilir,14,1,1890.0,2,Hayır
9586,Sonbahar,İade Edilemez,5,4,2240.0,1,Hayır
9587,Sonbahar,İade Edilebilir,28,1,2650.0,3,Evet
9588,Sonbahar,İade Edilebilir,8,2,2570.0,1,Hayır
9589,Yaz,İade Edilebilir,58,2,2690.0,3,Evet
9590,Yaz,İade Edilemez,121,2,4560.0,3,Hayır
9591,Yaz,İade Edilemez,41,6,3430.0,2,Hayır
9592,Yaz,İade Edilebilir,61,6,3470.0,0,Evet
9593,Sonbahar,İade Edilebilir,111,3,3410.0,1,Evet
9594,Yaz,İade Edilebilir,30,2,4440.0,0,Evet
9595,İlkbahar,İade Edilebilir,43,5,2160.0,2,Evet
9596,Yaz,İade Edilebilir,10,1,2500.0,1,Evet
9597,Kış,İade Edilemez,14,1,1910.0,2,Hayır
9598,Yaz,İade Edilebilir,62,3,4180.0,0,Hayır
9599,Yaz,İade Edilemez,16,3,3740.0,0,Hayır
9600,Yaz,İade Edilebilir,20,3,2930.0,1,Hayır
9601,Sonbahar,İade Edilemez,119,3,1650.0,2,Evet
9602,Yaz,İade Edilebilir,210,14,2920.0,0,Evet
9603,İlkbahar,İade Edilebilir,67,1,2550.0,0,Evet
9604,Kış,İade Edilebilir,6,2,2370.0,0,Hayır
9605,Kış,İade Edilemez,17,2,2520.0,0,Hayır
9606,İlkbahar,İade Edilebilir,13,6,1890.0,0,Hayır
9607,İlkbahar,İade Edilebilir,4,2,2560.0,0,Hayır
9608,Yaz,İade Edilemez,52,1,4190.0,0,Hayır
9609,Sonbahar,İade Edilebilir,14,3,1840.0,0,Hayır
9610,İlkbahar,İade Edilebilir,69,2,2300.0,0,Evet
9611,Sonbahar,İade Edilebilir,18,4,3690.0,0,Hayır
9612,Yaz,İade Edilemez,34,1,3940.0,0,Hayır
9613,Sonbahar,İade Edilemez,213,5,2820.0,2,Hayır
9614,İlkbahar,İade Edilebilir,16,4,2100.0,1,Hayır
9615,Kış,İade Edilebilir,49,2,1830.0,1,Hayır
9616,Sonbahar,İade Edilebilir,65,2,1000.0,1,Evet
9617,İlkbahar,İade Edilebilir,47,4,2380.0,0,Hayır
9618,Kış,İade Edilebilir,17,2,2630.0,0,Hayır
9619,Sonbahar,İade Edilebilir,6,4,3670.0,0,Hayır
9619,Sonbahar,İade Edilebilir,6,4,3670.0,0,Hayır
9620,Yaz,İade Edilebilir,32,9,4640.0,4,Evet
9621,İlkbahar,İade Edilemez,5,3,2880.0,2,Hayır
9622,İlkbahar,İade Edilebilir,18,6,2440.0,1,Hayır
9623,Sonbahar,İade Edilebilir,46,4,1780.0,1,Hayır
9624,İlkbahar,İade Edilebilir,182,2,2290.0,2,Evet
9625,Yaz,İade Edilebilir,63,7,4230.0,2,Evet
9626,Kış,İade Edilemez,6,5,1250.0,0,Hayır
9627,Sonbahar,İade Edilebilir,23,1,2850.0,2,Evet
9628,Kış,İade Edilebilir,1,4,1110.0,1,Hayır
9629,Yaz,İade Edilemez,0,9,2550.0,0,Hayır
9630,Kış,İade Edilebilir,24,6,1090.0,0,Hayır
9631,Yaz,İade Edilebilir,32,5,2630.0,0,Hayır
9632,Sonbahar,İade Edilemez,14,2,1240.0,1,Hayır
9633,Kış,İade Edilebilir,4,3,2590.0,4,Hayır
9634,İlkbahar,İade Edilemez,41,4,2260.0,2,Hayır
9635,Yaz,İade Edilebilir,172,2,3950.0,0,Evet
9636,Yaz,İade Edilebilir,2,1,4610.0,0,Hayır
9637,İlkbahar,İade Edilebilir,41,8,3280.0,0,Hayır
9638,Yaz,İade Edilebilir,8,2,3450.0,0,Hayır
9639,Yaz,İade Edilemez,107,8,4730.0,0,Hayır
9640,Sonbahar,İade Edilemez,25,3,2470.0,2,Hayır
9641,İlkbahar,İade Edilebilir,35,1,2400.0,0,Hayır
9642,Yaz,İade Edilemez,47,1,4110.0,1,Hayır
9643,Yaz,İade Edilebilir,56,6,2800.0,0,Hayır
9644,Yaz,İade Edilebilir,81,2,3250.0,5,Evet
9645,İlkbahar,İade Edilebilir,17,1,2320.0,1,Hayır
9646,Yaz,İade Edilemez,6,4,4230.0,0,Hayır
9647,Yaz,İade Edilemez,65,3,3540.0,2,Hayır
9648,İlkbahar,İade Edilemez,8,2,2310.0,0,Hayır
9649,Kış,İade Edilemez,5,2,2480.0,0,Hayır
9650,Sonbahar,İade Edilebilir,5,2,3190.0,0,Hayır
9651,Yaz,İade Edilebilir,29,3,4340.0,1,Hayır
9652,İlkbahar,İade Edilebilir,36,2,3290.0,0,Hayır
9653,Yaz,İade Edilebilir,163,1,3520.0,0,Evet
9654,İlkbahar,İade Edilemez,139,6,2190.0,0,Hayır
9655,Yaz,İade Edilebilir,46,7,4020.0,4,Evet
9656,Sonbahar,İade Edilebilir,23,3,1990.0,0,Hayır
9657,Yaz,İade Edilemez,75,3,3450.0,0,Hayır
9658,İlkbahar,İade Edilemez,16,6,3560.0,0,Hayır
9659,İlkbahar,İade Edilemez,29,2,2260.0,0,Hayır
9660,Kış,İade Edilebilir,3,4,1120.0,0,Hayır
9661,İlkbahar,İade Edilebilir,91,7,2740.0,0,Evet
9662,İlkbahar,İade Edilemez,1,2,3690.0,1,Hayır
9663,Kış,İade Edilebilir,7,1,1860.0,1,Hayır
9664,Kış,İade Edilemez,15,1,2660.0,0,Hayır
9665,Yaz,İade Edilebilir,224,2,3490.0,1,Evet
9666,İlkbahar,İade Edilemez,80,3,2060.0,2,Hayır
9667,Yaz,İade Edilebilir,300,1,3320.0,0,Evet
9668,Sonbahar,İade Edilemez,16,1,2100.0,0,Hayır
9669,İlkbahar,İade Edilemez,9,4,3690.0,1,Evet
9670,Yaz,İade Edilebilir,34,5,2990.0,0,Hayır
9671,Yaz,İade Edilemez,24,3,4950.0,2,Hayır
9672,Kış,İade Edilemez,27,6,1090.0,0,Hayır
9673,Kış,İade Edilebilir,56,6,1640.0,1,Hayır
9674,Sonbahar,İade Edilebilir,6,6,2790.0,0,Evet
9675,Yaz,İade Edilebilir,30,1,4240.0,0,Hayır
9676,Sonbahar,İade Edilebilir,90,10,2400.0,3,Evet
9677,Kış,İade Edilebilir,72,1,800.0,0,Evet
9678,Yaz,İade Edilemez,90,2,4050.0,2,Hayır
9679,Sonbahar,İade Edilemez,8,1,1480.0,3,Hayır
9680,Sonbahar,İade Edilemez,12,4,4000.0,4,Hayır
9681,Kış,İade Edilebilir,12,2,1650.0,0,Hayır
9682,Yaz,İade Edilebilir,15,5,3930.0,0,Evet
9683,İlkbahar,İade Edilemez,8,2,1600.0,0,Hayır
9684,Yaz,İade Edilemez,41,1,3460.0,0,Hayır
9685,Kış,İade Edilebilir,0,3,900.0,3,Hayır
9686,İlkbahar,İade Edilebilir,8,1,3090.0,1,Hayır
9687,Sonbahar,İade Edilebilir,117,11,2020.0,0,Evet
9688,Yaz,İade Edilemez,69,1,4190.0,0,Hayır
9689,Yaz,İade Edilebilir,28,5,3320.0,2,Evet
9690,Sonbahar,İade Edilemez,9,1,1850.0,1,Hayır
9691,İlkbahar,İade Edilemez,44,2,3300.0,0,Hayır
9692,Kış,İade Edilebilir,72,2,1120.0,1,Evet
9693,İlkbahar,İade Edilemez,8,5,1140.0,0,Hayır
9694,Kış,İade Edilebilir,8,3,,0,Hayır
9695,Kış,İade Edilemez,83,3,,0,Hayır
9696,Yaz,İade Edilebilir,125,1,3490.0,5,Evet
9697,Sonbahar,İade Edilemez,33,5,2840.0,0,Hayır
9698,Yaz,İade Edilebilir,3,2,3230.0,1,Evet
9699,Yaz,İade Edilemez,139,2,4410.0,0,Hayır
9700,İlkbahar,İade Edilebilir,33,8,1920.0,0,Hayır
9701,Yaz,İade Edilebilir,24,6,4840.0,1,Hayır
9702,Yaz,İade Edilemez,24,3,4730.0,2,Hayır
9703,Yaz,İade Edilebilir,10,5,3470.0,3,Hayır
9704,Sonbahar,İade Edilemez,17,1,2050.0,0,Evet
9705,Yaz,İade Edilemez,4,3,3220.0,0,Hayır
9706,İlkbahar,İade Edilemez,26,3,2540.0,0,Hayır
9707,Yaz,İade Edilebilir,8,2,4600.0,0,Hayır
9708,Yaz,İade Edilemez,53,2,2790.0,2,Hayır
9709,Kış,İade Edilemez,3,3,2440.0,0,Hayır
9710,Yaz,İade Edilebilir,9,1,2870.0,0,Hayır
9711,Sonbahar,İade Edilemez,117,3,1600.0,1,Hayır
9712,Kış,İade Edilemez,1,6,800.0,1,Hayır
9713,Yaz,İade Edilemez,28,4,5270.0,0,Hayır
9714,Yaz,İade Edilebilir,83,4,3840.0,0,Evet
9715,İlkbahar,İade Edilemez,55,2,2570.0,2,Evet
9716,İlkbahar,İade Edilebilir,63,11,1930.0,0,Evet
9717,İlkbahar,İade Edilebilir,30,3,3150.0,3,Evet
9718,Yaz,İade Edilebilir,113,1,2330.0,0,Evet
9719,Yaz,İade Edilemez,38,11,3820.0,0,Hayır
9720,Yaz,İade Edilebilir,32,11,5340.0,1,Hayır
9721,Kış,İade Edilemez,25,3,1530.0,3,Hayır
9722,Sonbahar,İade Edilebilir,33,5,2210.0,0,Hayır
9723,Sonbahar,İade Edilebilir,4,4,2670.0,1,Hayır
9724,Kış,İade Edilemez,30,3,1230.0,0,Hayır
9725,İlkbahar,İade Edilebilir,4,5,2420.0,0,Hayır
9726,Kış,İade Edilebilir,31,2,2470.0,0,Hayır
9727,Sonbahar,İade Edilemez,75,2,2340.0,3,Evet
9728,Sonbahar,İade Edilebilir,14,1,2460.0,4,Hayır
9729,Kış,İade Edilemez,13,4,1560.0,0,Hayır
9730,İlkbahar,İade Edilebilir,104,3,2620.0,4,Evet
9731,İlkbahar,İade Edilemez,101,3,2440.0,0,Hayır
9732,Yaz,İade Edilebilir,88,6,4820.0,2,Evet
9733,Sonbahar,İade Edilemez,13,2,2710.0,0,Hayır
9734,Kış,İade Edilebilir,23,3,1630.0,0,Hayır
9734,Kış,İade Edilebilir,23,3,1630.0,0,Hayır
9735,Kış,İade Edilemez,7,4,800.0,0,Hayır
9736,Yaz,İade Edilebilir,157,10,4300.0,0,Evet
9737,Yaz,İade Edilebilir,72,10,4330.0,4,Evet
9738,Yaz,İade Edilemez,44,5,3160.0,0,Hayır
9739,Yaz,İade Edilebilir,27,3,2400.0,0,Hayır
9740,Kış,İade Edilemez,11,5,1000.0,0,Evet
9741,İlkbahar,İade Edilemez,11,5,3050.0,2,Hayır
9742,Sonbahar,İade Edilebilir,116,6,1450.0,0,Evet
9743,Yaz,İade Edilebilir,53,3,3480.0,0,Hayır
9744,Kış,İade Edilemez,19,1,1950.0,0,Hayır
9745,Sonbahar,İade Edilebilir,12,5,3060.0,5,Hayır
9746,İlkbahar,İade Edilebilir,103,2,2390.0,0,Evet
9747,Sonbahar,İade Edilebilir,0,3,2130.0,0,Hayır
9748,Kış,İade Edilemez,97,2,1420.0,1,Hayır
9749,Sonbahar,İade Edilebilir,15,4,3340.0,0,Hayır
9750,Kış,İade Edilemez,4,1,2550.0,1,Hayır
9751,Yaz,İade Edilebilir,20,2,3730.0,5,Hayır
9752,Yaz,İade Edilemez,35,5,2820.0,1,Hayır
9753,Yaz,İade Edilemez,23,3,3250.0,1,Hayır
9754,Kış,İade Edilebilir,0,2,2210.0,5,Hayır
9755,Kış,İade Edilemez,19,7,1290.0,1,Hayır
9756,İlkbahar,İade Edilebilir,17,13,3020.0,0,Evet
9757,Kış,İade Edilebilir,14,3,2050.0,3,Hayır
9758,İlkbahar,İade Edilebilir,22,2,2600.0,4,Evet
9759,Kış,İade Edilemez,49,1,2260.0,2,Hayır
9760,Yaz,İade Edilebilir,46,4,4150.0,0,Hayır
9761,İlkbahar,İade Edilemez,10,6,1800.0,0,Hayır
9762,Yaz,İade Edilebilir,28,4,3570.0,0,Hayır
9763,İlkbahar,İade Edilebilir,30,2,4040.0,0,Hayır
9764,Kış,İade Edilebilir,16,4,950.0,2,Hayır
9765,İlkbahar,İade Edilebilir,47,3,2070.0,1,Hayır
9766,Yaz,İade Edilebilir,7,2,,3,Hayır
9767,İlkbahar,İade Edilebilir,84,1,2290.0,1,Evet
9768,İlkbahar,İade Edilebilir,53,4,1830.0,1,Hayır
9769,Yaz,İade Edilebilir,68,3,2870.0,2,Evet
9770,İlkbahar,İade Edilemez,78,7,2780.0,1,Hayır
9771,Sonbahar,İade Edilebilir,8,2,2910.0,1,Hayır
9772,Sonbahar,İade Edilemez,25,3,3180.0,1,Hayır
9773,İlkbahar,İade Edilebilir,20,4,2440.0,0,Hayır
9774,Yaz,İade Edilebilir,26,2,4530.0,2,Evet
9775,İlkbahar,İade Edilebilir,15,2,1680.0,0,Hayır
9776,Kış,İade Edilebilir,15,2,1920.0,5,Hayır
9777,Yaz,İade Edilemez,21,4,3330.0,4,Hayır
9778,Yaz,İade Edilebilir,63,9,,2,Evet
9779,Sonbahar,İade Edilebilir,43,4,2730.0,1,Hayır
9780,Kış,İade Edilebilir,34,1,2550.0,0,Hayır
9781,Yaz,İade Edilemez,34,1,3110.0,0,Hayır
9782,Yaz,İade Edilemez,170,3,4690.0,0,Hayır
9783,Kış,İade Edilemez,37,5,1470.0,0,Hayır
9784,Sonbahar,İade Edilemez,44,4,1480.0,2,Hayır
9785,Yaz,İade Edilebilir,4,5,3680.0,3,Hayır
9786,Kış,İade Edilemez,41,2,800.0,1,Hayır
9787,Sonbahar,İade Edilebilir,30,14,2200.0,3,Evet
9788,Kış,İade Edilemez,6,2,2000.0,0,Hayır
9789,Kış,İade Edilebilir,8,1,1660.0,3,Hayır
9790,İlkbahar,İade Edilemez,11,3,2780.0,5,Hayır
9791,Sonbahar,İade Edilebilir,1,10,1980.0,1,Hayır
9792,Kış,İade Edilebilir,79,1,1800.0,4,Evet
9793,Sonbahar,İade Edilemez,21,5,1190.0,2,Hayır
9794,Yaz,İade Edilemez,262,4,3830.0,1,Hayır
9795,Kış,İade Edilebilir,5,8,1200.0,1,Hayır
9796,Yaz,İade Edilebilir,124,4,3490.0,0,Evet
9797,Yaz,İade Edilebilir,142,6,3730.0,0,Evet
9798,Yaz,İade Edilemez,9,4,3930.0,2,Hayır
9799,Yaz,İade Edilemez,80,4,2650.0,0,Hayır
9800,Yaz,İade Edilebilir,28,1,2710.0,1,Hayır
