kayit_no,uretim_hatti,vardiya,calisma_saati,son_bakim_gun,sicaklik_c,titresim,parti_no,ariza_cikti
5502,C,Gündüz,8870,41,67,1.5,77,Hayır
5503,C,Gece,13010,137,72,1.1,63,Evet
5504,B,Gece,6010,30,67,6.0,31,Hayır
5505,B,Gündüz,7270,42,68,3.4,61,Hayır
5506,C,Gece,8860,106,72,2.2,65,Evet
5507,A,Gündüz,5600,19,62,4.2,85,Evet
5508,C,Gündüz,4810,134,66,5.4,48,Evet
5509,B,Gece,6610,207,70,1.7,50,Hayır
5510,A,Gündüz,8030,263,70,3.4,50,Hayır
5511,A,Gündüz,4980,83,61,3.4,11,Hayır
5512,C,Gündüz,4730,28,60,6.9,9,Hayır
5513,A,Gece,10450,20,62,2.2,2,Hayır
5514,A,Gece,7640,20,66,1.4,66,Hayır
5515,A,Gece,2730,4,60,3.6,41,Hayır
5516,A,Gündüz,4740,148,61,4.5,86,Evet
5517,A,Gündüz,200,74,56,3.2,70,Hayır
5518,B,Gece,1390,241,58,,14,Hayır
5519,A,Gündüz,3580,14,66,2.2,10,Hayır
5520,C,Gece,17530,335,78,3.2,36,Evet
5521,C,Gece,9120,63,61,0.8,92,Hayır
5522,A,Gündüz,8880,13,69,1.3,4,Hayır
5523,A,Gece,3580,2,58,1.7,18,Evet
5524,B,Gündüz,7120,24,56,2.5,2,Hayır
5525,A,Gündüz,5360,209,71,1.0,41,Evet
5526,A,Gece,9930,24,63,4.2,98,Evet
5527,C,Gündüz,9590,135,66,1.6,68,Hayır
5528,C,Gece,4920,9,62,9.5,49,Evet
5529,C,Gece,5780,64,69,1.6,14,Hayır
5530,A,Gece,3610,108,63,3.0,35,Hayır
5531,B,Gece,380,192,56,2.7,52,Hayır
5532,B,Gündüz,7850,118,69,1.3,27,Hayır
5533,A,Gündüz,3900,5,58,2.5,70,Hayır
5534,B,Gece,16690,166,83,2.5,98,Evet
5535,A,Gece,200,1,58,5.0,20,Hayır
5536,A,Gündüz,6920,22,52,3.7,25,Hayır
5537,B,Gündüz,920,264,66,4.1,12,Evet
5538,A,Gündüz,3780,138,73,5.0,72,Evet
5539,A,Gündüz,6640,129,73,4.2,46,Hayır
5540,C,Gece,1540,77,70,3.3,28,Hayır
5541,C,Gündüz,13070,133,65,1.7,21,Hayır
5542,B,Gece,14560,22,73,3.2,7,Evet
5543,C,Gece,9960,85,63,1.4,47,Hayır
5544,C,Gece,13170,49,69,2.6,68,Hayır
5545,A,Gündüz,10610,43,60,2.4,23,Hayır
5546,B,Gündüz,5260,117,61,2.5,0,Evet
5547,A,Gece,3390,32,58,1.0,47,Hayır
5548,A,Gece,200,105,65,0.3,67,Hayır
5549,C,Gündüz,14880,58,74,2.1,34,Evet
5550,B,Gece,5490,400,72,5.7,25,Evet
5551,B,Gündüz,1440,29,53,3.0,15,Hayır
5552,A,Gece,6570,8,61,5.5,74,Evet
5553,A,Gündüz,3370,244,62,1.4,86,Hayır
5554,C,Gündüz,9620,376,77,2.0,76,Evet
5555,A,Gündüz,8730,124,73,9.5,51,Evet
5556,A,Gündüz,200,5,64,1.5,72,Hayır
5557,A,Gündüz,10710,2,62,4.1,39,Hayır
5558,B,Gündüz,200,12,50,4.1,2,Evet
5559,B,Gündüz,3020,233,56,3.8,36,Hayır
5560,B,Gece,14650,388,84,4.1,70,Evet
5561,A,Gündüz,11070,17,64,1.5,64,Hayır
5562,A,Gece,6440,19,59,2.1,99,Hayır
5563,C,Gece,7770,24,72,0.3,99,Evet
5564,B,Gündüz,3620,214,72,7.0,24,Evet
5565,B,Gündüz,6330,108,65,4.1,0,Evet
5566,B,Gece,6170,102,63,1.7,27,Hayır
5567,C,Gece,11590,1,65,1.4,87,Hayır
5568,A,Gündüz,5860,67,65,5.8,81,Evet
5569,A,Gece,5040,74,71,1.6,9,Evet
5570,B,Gündüz,200,30,61,1.7,16,Hayır
5571,A,Gündüz,3680,5,64,1.2,56,Hayır
5572,C,Gece,16120,116,78,4.6,66,Evet
5573,B,Gündüz,200,113,55,5.4,98,Hayır
5574,C,Gece,11150,40,70,2.4,75,Hayır
5575,C,Gündüz,8310,195,67,5.4,21,Hayır
5576,B,Gece,6500,181,54,3.6,3,Evet
5577,C,Gündüz,10250,145,58,1.1,63,Hayır
5578,B,Gündüz,12650,70,63,6.7,55,Evet
5579,C,Gündüz,14280,400,79,1.2,92,Evet
5580,A,Gündüz,200,32,59,2.5,57,Hayır
5581,B,Gece,9020,71,67,2.4,50,Hayır
5582,B,Gündüz,2510,215,74,2.1,30,Evet
5583,A,Gündüz,3400,157,57,0.5,8,Hayır
5584,A,Gündüz,7410,76,65,9.2,87,Evet
5585,C,Gündüz,9790,102,69,0.5,82,Hayır
5586,B,Gece,10020,184,65,7.0,16,Evet
5587,A,Gündüz,2510,68,61,1.4,70,Hayır
5588,A,Gece,3210,14,53,1.8,36,Hayır
5589,A,Gündüz,3050,28,68,6.5,43,Evet
5590,A,Gece,3450,88,59,3.8,84,Hayır
5591,C,Gündüz,16950,6,80,0.9,84,Evet
5592,B,Gündüz,8830,118,67,0.8,19,Hayır
5593,A,Gece,13690,9,73,3.5,30,Evet
5594,B,Gece,16200,46,70,1.2,82,Evet
5595,A,Gece,1360,114,61,4.0,91,Hayır
5596,A,Gündüz,6320,21,60,4.2,7,Evet
5597,B,Gündüz,710,80,61,1.5,83,Hayır
5598,B,Gece,2500,400,70,1.9,48,Evet
5599,C,Gündüz,9160,8,61,3.5,59,Hayır
5600,B,Gece,1240,108,61,1.5,7,Hayır
