mesafe_km,hava_durumu,kurye_deneyim_ay,aktarma_sayisi,hafta_sonu,paket_agirlik_kg,gecikti
345,Acik,18,3,0,4.1,0
179,Acik,2,0,0,3.3,0
223,Acik,24,1,1,3.6,0
259,Karli,34,2,0,0.8,1
312,Yagmurlu,27,0,0,0.4,0
135,Acik,31,3,1,5.3,0
334,Yagmurlu,2,1,0,3.1,1
250,Acik,13,0,0,2.1,0
72,Acik,7,0,0,4.6,0
45,Acik,4,2,0,5.4,1
502,Acik,11,1,0,3.8,0
215,Yagmurlu,42,2,1,3.9,1
65,Acik,50,2,0,3.0,0
689,Yagmurlu,8,1,0,7.4,1
357,Acik,16,2,0,2.6,0
306,Yagmurlu,21,3,1,1.7,1
125,Yagmurlu,13,0,0,2.9,0
71,Yagmurlu,36,2,1,5.2,1
276,Yagmurlu,11,0,0,7.7,0
239,Karli,9,0,1,15.4,1
98,Acik,8,1,0,4.6,0
95,Yagmurlu,13,2,0,12.7,0
90,Yagmurlu,1,0,0,2.4,0
87,Acik,13,1,1,2.1,0
148,Acik,17,1,0,6.1,0
306,Acik,18,0,0,6.8,0
342,Acik,6,2,0,5.0,1
235,Acik,18,3,0,25.1,0
267,Acik,17,0,1,2.6,0
354,Yagmurlu,18,0,1,11.1,1
33,Acik,27,3,0,2.1,0
282,Yagmurlu,6,0,0,7.2,0
558,Acik,13,0,0,4.5,0
211,Yagmurlu,3,3,1,5.3,1
489,Acik,26,2,0,6.1,0
214,Acik,7,1,0,4.6,0
370,Acik,30,1,0,3.9,0
302,Yagmurlu,31,3,0,0.6,1
89,Acik,14,1,0,8.7,0
109,Karli,13,1,0,1.2,1
624,Acik,4,2,1,3.1,1
425,Acik,16,1,0,5.6,0
224,Acik,27,1,0,1.5,0
203,Yagmurlu,19,1,0,3.9,0
126,Acik,39,1,0,7.9,0
320,Acik,12,1,0,3.0,0
135,Acik,12,1,0,3.9,0
183,Acik,7,1,1,1.8,0
147,Acik,56,2,0,3.4,0
407,Karli,4,1,1,1.3,1
218,Acik,26,0,0,5.1,0
268,Acik,28,0,0,1.0,0
91,Karli,27,0,0,2.5,0
146,Acik,8,2,0,4.5,0
273,Acik,14,1,1,3.7,0
56,Yagmurlu,23,0,0,5.9,0
206,Karli,10,2,0,4.0,1
240,Yagmurlu,12,0,0,0.6,1
80,Acik,10,0,0,1.5,0
475,Karli,17,2,1,4.3,1
309,Acik,16,1,0,9.5,0
216,Karli,43,2,0,8.3,0
138,Yagmurlu,24,2,1,24.7,1
54,Karli,5,3,1,2.7,1
452,Acik,6,0,1,7.7,1
170,Acik,26,2,0,7.3,0
69,Yagmurlu,16,2,0,13.1,0
135,Acik,54,0,0,10.7,0
332,Acik,54,3,0,5.4,0
288,Karli,7,1,0,6.8,0
98,Yagmurlu,20,2,0,5.9,1
505,Acik,6,1,0,4.2,0
68,Acik,26,1,0,6.5,0
573,Acik,47,0,0,5.0,0
279,Acik,18,3,0,4.8,0
181,Acik,11,1,0,13.5,0
201,Yagmurlu,21,0,0,5.5,0
257,Yagmurlu,30,0,1,4.6,1
350,Acik,30,2,0,3.8,0
44,Acik,12,0,0,3.5,0
131,Yagmurlu,9,1,0,1.4,0
251,Yagmurlu,19,1,0,4.2,0
517,Karli,12,0,0,9.9,1
504,Acik,36,1,0,2.7,1
649,Yagmurlu,12,0,1,0.3,1
489,Acik,17,3,0,6.3,1
123,Acik,21,2,0,5.1,0
240,Yagmurlu,4,0,1,13.3,1
491,Acik,10,1,0,2.4,0
460,Acik,52,1,0,1.2,0
208,Acik,29,3,0,3.6,0
343,Acik,12,1,1,3.1,0
170,Acik,26,1,0,0.8,0
62,Yagmurlu,35,3,0,4.7,1
222,Acik,13,0,1,2.9,0
212,Acik,28,1,0,11.6,0
163,Yagmurlu,25,0,1,4.7,1
351,Acik,6,1,0,2.1,0
203,Karli,13,1,0,4.3,1
318,Acik,44,3,0,5.0,1
402,Acik,51,1,1,6.7,0
961,Acik,29,0,0,4.4,0
225,Yagmurlu,10,2,0,17.1,1
522,Acik,2,2,1,1.4,1
285,Karli,9,1,0,2.9,0
296,Acik,5,2,1,2.1,1
227,Acik,46,0,0,3.3,0
267,Acik,3,1,0,5.5,0
204,Acik,6,0,1,5.2,1
464,Acik,19,0,1,6.6,0
135,Acik,16,3,0,4.7,0
62,Acik,43,2,1,4.9,0
159,Yagmurlu,24,0,1,4.8,1
146,Acik,14,0,1,3.0,0
159,Acik,36,3,0,2.8,0
218,Acik,12,0,0,2.1,0
160,Acik,45,0,0,6.9,0
216,Acik,8,0,0,0.4,0
160,Yagmurlu,15,0,0,4.9,0
323,Acik,2,0,0,7.8,0
956,Karli,30,3,0,9.4,1
281,Acik,18,0,0,0.2,0
165,Acik,45,1,0,3.1,0
20,Yagmurlu,13,2,0,2.2,1
762,Acik,4,1,0,2.9,1
292,Acik,22,2,1,10.8,1
215,Karli,10,1,0,2.2,0
21,Karli,27,1,0,7.8,0
223,Yagmurlu,8,1,0,4.9,0
266,Acik,40,2,0,2.8,0
160,Acik,17,2,0,2.5,0
74,Karli,14,2,1,5.3,1
69,Karli,38,0,0,4.1,1
770,Acik,30,1,0,0.7,1
260,Acik,9,2,0,1.8,0
160,Acik,30,0,1,5.4,0
249,Acik,26,2,1,1.3,1
237,Yagmurlu,15,0,1,8.7,1
66,Acik,28,0,0,0.9,0
444,Acik,40,2,1,3.4,1
211,Acik,15,0,0,7.0,0
263,Acik,15,1,0,1.6,0
611,Acik,15,1,1,1.2,1
76,Acik,9,2,0,6.1,0
129,Acik,15,1,1,8.0,0
303,Karli,14,1,0,3.7,0
438,Acik,13,2,0,3.0,1
148,Acik,13,1,0,0.9,0
155,Acik,6,3,1,4.6,1
372,Acik,32,2,0,0.6,0
909,Acik,10,1,1,10.9,1
255,Acik,41,3,0,3.8,0
129,Acik,7,1,1,1.8,0
99,Acik,47,0,0,2.5,0
218,Yagmurlu,12,0,0,4.8,0
425,Acik,30,1,0,2.9,0
1162,Acik,18,0,0,4.2,0
192,Acik,5,1,0,1.6,0
256,Acik,5,1,0,9.5,0
689,Acik,9,1,0,2.5,0
299,Acik,12,0,1,0.4,0
282,Acik,16,2,0,3.1,0
606,Acik,21,1,1,2.2,1
260,Karli,14,0,0,9.1,0
107,Karli,20,1,1,1.8,1
528,Karli,22,1,0,2.8,1
56,Acik,14,1,0,5.0,0
471,Acik,25,1,0,6.7,0
241,Acik,29,0,0,11.4,0
193,Acik,23,2,0,2.0,0
189,Acik,23,1,0,10.6,0
217,Acik,19,0,1,8.8,0
172,Acik,34,2,0,2.2,0
330,Acik,16,1,0,1.9,0
177,Acik,10,1,1,5.8,1
243,Yagmurlu,16,1,0,4.1,0
34,Acik,5,1,0,5.8,0
241,Yagmurlu,5,1,1,3.2,1
169,Acik,30,0,1,4.5,0
449,Acik,42,0,1,3.8,0
199,Acik,12,3,1,5.7,1
407,Acik,30,1,0,1.9,0
376,Acik,2,1,0,4.8,0
383,Acik,23,0,0,11.3,0
205,Yagmurlu,16,2,1,10.8,1
253,Acik,46,0,1,5.2,0
324,Acik,14,0,0,1.8,0
259,Karli,7,0,0,15.2,0
200,Acik,4,2,0,5.7,1
115,Acik,16,1,0,14.2,0
245,Acik,18,0,1,5.9,0
62,Acik,14,0,0,0.2,0
31,Acik,30,1,0,15.1,0
93,Acik,39,1,1,7.9,0
380,Yagmurlu,12,1,0,4.4,0
286,Acik,3,0,0,0.6,0
383,Acik,20,2,0,8.6,0
139,Acik,35,3,0,5.9,0
479,Karli,12,1,0,18.1,1
70,Yagmurlu,23,0,0,13.2,0
97,Karli,6,1,0,13.9,1
474,Yagmurlu,20,0,0,5.1,0
272,Yagmurlu,24,0,0,4.9,0
384,Acik,20,0,0,5.9,0
287,Karli,54,3,1,2.4,1
156,Acik,41,1,0,4.5,0
86,Acik,26,2,0,3.8,0
41,Yagmurlu,33,1,1,10.3,1
727,Acik,19,1,0,11.9,0
53,Acik,15,0,0,7.2,0
593,Acik,11,1,1,2.0,0
261,Acik,6,0,0,15.8,1
293,Yagmurlu,43,1,0,8.6,0
280,Acik,56,0,1,5.6,0
352,Yagmurlu,17,1,0,6.7,0
128,Acik,17,1,0,1.1,0
26,Yagmurlu,24,0,0,3.8,0
153,Acik,14,0,0,11.0,0
332,Karli,7,3,1,1.0,1
97,Acik,5,0,0,1.0,0
487,Acik,54,0,0,8.6,1
220,Acik,3,0,0,6.4,0
89,Acik,20,1,1,1.0,0
270,Acik,4,1,0,3.5,0
329,Yagmurlu,15,0,0,5.6,0
345,Karli,12,1,0,5.1,0
474,Yagmurlu,5,1,0,6.0,1
64,Acik,25,0,0,3.3,0
475,Acik,6,3,1,5.3,1
503,Yagmurlu,4,3,0,7.2,1
87,Yagmurlu,27,0,0,6.8,0
103,Acik,12,0,0,3.3,0
397,Karli,9,0,0,7.7,0
178,Acik,28,0,0,1.8,0
553,Yagmurlu,6,1,1,2.5,1
654,Karli,3,1,0,8.6,1
89,Yagmurlu,37,1,1,7.6,1
126,Acik,49,0,0,3.6,0
260,Acik,15,0,0,2.4,0
25,Acik,14,3,0,2.7,0
43,Yagmurlu,29,3,0,7.0,0
114,Acik,35,0,0,6.0,0
800,Yagmurlu,7,1,1,2.3,1
289,Karli,13,1,1,7.5,1
144,Acik,19,1,1,3.5,0
102,Acik,28,1,1,1.9,0
86,Yagmurlu,26,2,0,3.0,1
153,Acik,23,0,0,4.7,0
146,Acik,34,0,0,7.3,0
203,Acik,15,3,1,7.0,0
339,Acik,43,0,0,4.1,0
227,Yagmurlu,10,0,0,5.2,0
413,Acik,26,2,0,3.8,0
192,Acik,12,2,0,2.3,0
686,Acik,15,1,1,4.2,1
407,Acik,17,2,0,0.6,1
283,Acik,11,1,0,12.0,0
340,Yagmurlu,36,0,1,5.1,1
156,Acik,12,1,0,6.2,0
201,Acik,16,2,0,2.4,0
195,Karli,24,2,0,5.0,1
130,Acik,60,0,0,5.7,0
72,Yagmurlu,25,0,0,3.6,0
353,Acik,17,2,0,3.8,0
458,Acik,3,0,0,1.3,1
319,Acik,14,0,0,14.8,0
227,Yagmurlu,10,2,0,2.4,1
887,Yagmurlu,13,1,1,2.7,1
143,Acik,11,0,0,12.6,0
290,Acik,24,0,0,6.4,0
502,Acik,14,0,0,7.4,0
94,Acik,8,2,0,1.2,0
372,Yagmurlu,30,1,1,5.0,0
715,Yagmurlu,6,0,0,1.2,1
241,Karli,16,1,0,2.1,0
272,Acik,15,0,0,16.3,0
143,Yagmurlu,21,0,1,1.7,0
338,Acik,35,0,0,7.1,0
128,Acik,60,1,1,1.9,0
230,Karli,17,0,0,2.1,0
64,Acik,9,0,0,23.1,0
12,Yagmurlu,9,1,0,4.1,0
167,Yagmurlu,9,1,0,1.1,0
165,Karli,20,0,0,7.4,0
179,Acik,2,0,0,10.4,0
398,Acik,5,0,0,7.9,0
466,Yagmurlu,20,1,0,3.8,1
299,Yagmurlu,31,2,0,3.9,0
380,Acik,31,0,0,2.8,1
131,Yagmurlu,18,2,0,1.5,1
105,Acik,28,2,0,5.6,0
342,Acik,35,0,0,3.6,0
93,Yagmurlu,12,0,0,1.2,0
84,Acik,33,0,0,4.2,0
1186,Acik,4,0,0,2.4,1
252,Karli,5,1,0,5.4,1
165,Yagmurlu,12,0,0,5.0,0
151,Karli,3,2,1,3.2,1
66,Acik,24,1,0,4.3,0
294,Karli,11,2,0,4.6,0
192,Acik,15,2,0,8.6,0
457,Acik,15,1,1,4.2,1
350,Acik,12,3,1,2.9,0
187,Yagmurlu,9,3,1,3.5,1
34,Karli,24,1,0,14.0,0
253,Yagmurlu,10,0,0,1.9,0
237,Yagmurlu,15,1,0,3.7,0
26,Acik,21,0,0,3.6,0
322,Acik,35,1,1,3.8,0
90,Acik,33,1,0,1.5,0
473,Acik,11,1,0,3.5,0
226,Acik,8,2,1,2.7,0
147,Yagmurlu,40,0,0,5.4,0
279,Yagmurlu,10,1,1,9.5,1
267,Yagmurlu,23,0,0,5.7,0
260,Acik,3,2,0,4.7,0
433,Acik,2,1,0,6.1,0
291,Acik,17,0,0,5.1,0
137,Acik,13,1,0,4.3,0
196,Acik,27,0,0,8.4,0
586,Acik,9,2,0,3.4,0
127,Acik,20,1,0,1.4,0
319,Yagmurlu,26,1,1,2.7,0
443,Acik,9,1,0,2.4,0
340,Acik,12,2,0,16.7,0
254,Acik,6,2,0,9.9,1
283,Acik,28,1,1,4.8,0
355,Acik,24,2,1,2.4,1
125,Acik,25,1,1,8.3,0
238,Acik,13,2,1,4.6,1
883,Acik,23,2,0,3.4,1
326,Karli,14,0,0,4.7,1
260,Acik,44,0,0,3.5,0
182,Acik,16,0,1,6.1,1
127,Acik,32,0,0,1.3,0
290,Acik,13,1,0,6.1,0
304,Acik,38,0,1,3.5,0
226,Yagmurlu,8,1,1,8.4,1
1109,Acik,22,0,1,10.0,1
136,Yagmurlu,10,0,0,11.6,0
111,Acik,19,1,0,17.5,0
184,Acik,10,1,0,11.3,0
232,Acik,16,1,0,8.2,0
121,Acik,12,2,0,1.5,0
285,Acik,25,3,0,0.3,0
307,Karli,22,1,1,9.0,1
384,Yagmurlu,9,0,0,2.1,0
161,Karli,9,0,0,25.9,0
555,Acik,8,3,1,1.0,1
367,Yagmurlu,6,1,0,8.0,1
134,Acik,27,2,0,5.1,0
121,Yagmurlu,7,1,0,1.1,0
193,Karli,20,0,0,5.1,0
307,Yagmurlu,11,1,1,2.3,0
339,Karli,31,2,0,4.1,1
366,Yagmurlu,51,2,0,4.1,1
848,Acik,1,0,1,2.3,1
46,Yagmurlu,8,1,0,3.2,0
222,Acik,11,0,1,2.1,0
804,Karli,14,3,0,0.7,1
396,Yagmurlu,13,0,1,4.7,0
105,Acik,5,2,0,11.2,0
275,Acik,52,0,0,2.2,0
212,Acik,13,1,1,15.3,0
206,Acik,22,1,1,17.5,0
159,Acik,23,0,0,3.0,0
259,Yagmurlu,4,2,0,3.6,1
490,Acik,12,2,0,3.1,1
170,Yagmurlu,27,2,1,1.5,1
368,Acik,40,0,1,3.7,0
412,Acik,12,2,0,3.3,0
552,Acik,5,1,0,4.7,1
119,Karli,10,1,0,4.9,0
245,Acik,12,1,1,1.4,0
145,Acik,12,1,0,6.9,0
260,Acik,8,0,0,3.6,0
258,Yagmurlu,4,1,1,1.7,1
95,Acik,6,0,0,3.5,0
270,Yagmurlu,10,0,0,5.0,0
875,Yagmurlu,26,0,0,12.7,1
339,Yagmurlu,34,0,0,11.3,0
78,Acik,17,2,1,2.8,0
113,Acik,6,1,0,3.8,0
236,Acik,10,0,0,2.1,0
115,Acik,2,2,0,5.7,1
533,Yagmurlu,40,3,0,2.9,1
70,Acik,9,2,0,3.7,0
341,Acik,21,2,0,9.3,0
56,Acik,32,3,0,1.4,0
233,Acik,48,1,0,11.4,0
101,Acik,28,3,1,6.1,0
383,Yagmurlu,11,3,0,11.0,1
476,Acik,23,0,1,7.7,1
307,Karli,47,2,0,8.7,1
491,Yagmurlu,9,2,0,4.5,1
18,Acik,4,2,1,1.7,1
268,Acik,8,2,0,2.6,0
338,Acik,22,1,1,2.2,0
368,Acik,12,1,0,0.5,0
324,Acik,15,1,0,9.3,0
373,Yagmurlu,25,2,0,4.1,1
266,Yagmurlu,8,2,0,2.0,0
79,Acik,14,2,0,17.0,0
158,Acik,10,2,0,22.1,0
535,Acik,46,3,0,1.2,1
497,Karli,28,0,0,3.6,1
334,Acik,12,3,1,3.5,1
389,Yagmurlu,11,0,0,1.9,1
459,Yagmurlu,49,1,1,9.1,1
331,Acik,46,0,0,0.5,0
525,Acik,22,1,0,14.1,0
514,Acik,15,1,0,4.6,0
1046,Yagmurlu,5,0,1,16.0,1
163,Acik,8,1,0,4.3,0
166,Yagmurlu,5,2,1,3.4,1
314,Yagmurlu,33,0,0,9.6,0
774,Yagmurlu,5,1,0,16.0,1
552,Acik,11,0,1,14.2,1
421,Acik,2,0,1,0.8,1
576,Yagmurlu,4,0,0,11.7,1
342,Acik,25,1,1,3.3,0
195,Yagmurlu,20,2,0,4.0,0
895,Acik,16,1,1,3.2,1
325,Acik,11,2,0,2.6,0
507,Yagmurlu,3,1,0,3.7,0
18,Acik,10,2,0,1.8,0
23,Acik,14,3,1,11.8,0
274,Acik,24,1,0,7.6,0
115,Acik,32,0,0,5.4,0
292,Yagmurlu,26,0,0,3.2,0
165,Acik,19,1,1,2.8,0
1141,Acik,16,1,0,6.3,0
481,Acik,18,0,0,5.5,0
612,Karli,10,2,0,10.1,1
30,Acik,17,3,0,2.8,0
417,Karli,14,0,0,2.6,0
213,Karli,60,0,0,7.3,0
619,Acik,18,0,1,8.5,1
378,Yagmurlu,2,1,0,21.0,0
236,Yagmurlu,11,2,0,0.8,1
87,Acik,12,1,0,12.2,0
270,Acik,28,0,0,5.0,0
527,Yagmurlu,20,1,0,3.0,1
642,Yagmurlu,19,0,1,6.3,1
185,Yagmurlu,37,1,0,6.2,0
1027,Karli,46,1,0,3.0,1
501,Acik,25,1,1,0.8,1
117,Yagmurlu,12,1,0,12.3,0
95,Yagmurlu,12,2,0,2.4,1
223,Acik,34,0,0,2.1,0
185,Acik,12,2,0,2.6,0
344,Acik,15,0,1,8.2,0
250,Yagmurlu,11,0,1,3.4,1
197,Acik,6,2,0,2.6,1
60,Yagmurlu,59,1,0,6.0,0
386,Acik,15,0,0,5.4,0
54,Acik,41,1,0,2.7,0
502,Yagmurlu,12,2,0,0.8,1
34,Acik,9,3,0,8.1,0
51,Karli,24,1,0,5.5,0
117,Acik,32,0,1,0.5,0
172,Karli,33,1,1,13.5,1
145,Acik,13,0,0,0.5,0
172,Karli,26,0,0,2.2,0
296,Yagmurlu,10,1,0,2.3,0
119,Acik,16,2,0,2.7,0
298,Acik,12,0,0,2.6,0
18,Acik,11,2,0,1.4,0
115,Acik,17,2,1,5.1,1
48,Yagmurlu,6,2,0,9.1,1
498,Acik,30,0,0,5.0,0
133,Acik,11,1,0,5.7,0
369,Acik,29,0,0,3.4,0
39,Acik,7,0,0,4.9,0
635,Yagmurlu,11,0,0,6.0,1
261,Acik,6,0,1,7.6,1
240,Yagmurlu,6,0,1,2.5,1
60,Karli,8,0,1,2.2,0
103,Acik,7,3,0,0.3,0
202,Acik,6,2,0,16.3,1
107,Acik,16,0,0,15.6,0
466,Acik,24,3,0,4.2,1
255,Acik,24,0,0,4.4,0
108,Karli,3,1,1,12.8,1
419,Yagmurlu,12,2,0,1.4,0
182,Acik,11,1,0,2.0,0
406,Yagmurlu,38,0,0,13.4,0
159,Acik,13,1,0,3.4,0
352,Yagmurlu,15,1,0,1.7,0
177,Acik,4,1,0,6.3,0
466,Yagmurlu,8,1,0,2.5,1
40,Karli,4,1,0,11.8,1
81,Yagmurlu,16,0,1,4.8,0
216,Yagmurlu,39,1,0,2.6,1
138,Acik,8,0,0,2.7,0
173,Yagmurlu,13,2,0,6.1,1
380,Acik,7,2,1,3.7,1
170,Yagmurlu,9,1,0,3.3,0
306,Acik,17,2,0,7.8,0
115,Acik,51,0,0,13.0,0
31,Acik,37,0,0,7.0,0
405,Acik,45,1,0,2.3,0
729,Yagmurlu,29,1,0,1.6,1
283,Yagmurlu,13,2,0,7.5,1
225,Karli,11,3,1,7.0,0
262,Acik,8,1,0,3.1,0
579,Karli,13,1,0,3.8,1
286,Acik,39,1,0,2.4,0
418,Acik,39,0,0,1.7,0
406,Yagmurlu,60,0,0,2.6,0
493,Acik,18,3,0,0.2,1
222,Acik,5,2,0,10.3,1
158,Acik,22,3,1,1.2,1
355,Acik,51,0,0,4.3,0
470,Yagmurlu,43,0,1,0.4,0
530,Acik,10,1,1,6.8,1
626,Acik,6,3,0,8.4,1
442,Acik,5,0,0,4.6,0
151,Acik,9,0,0,4.1,0
283,Yagmurlu,10,0,1,2.4,1
265,Karli,12,2,0,10.1,1
245,Yagmurlu,25,2,0,0.9,0
355,Yagmurlu,12,1,0,3.0,0
206,Acik,16,0,1,2.2,0
207,Yagmurlu,4,2,0,2.1,0
758,Acik,8,1,0,9.9,0
230,Acik,8,0,0,3.9,0
490,Yagmurlu,3,0,0,2.4,0
509,Acik,11,1,1,5.6,1
289,Karli,4,0,1,5.3,1
213,Yagmurlu,11,3,0,8.3,0
119,Karli,17,1,0,6.1,0
54,Acik,40,1,1,4.0,0
373,Acik,7,1,0,4.3,0
323,Yagmurlu,16,1,0,5.9,0
411,Acik,9,0,0,1.9,0
166,Acik,3,1,0,5.2,0
808,Yagmurlu,40,0,1,12.8,1
343,Karli,17,1,0,4.6,1
224,Yagmurlu,22,2,0,3.2,0
29,Acik,44,1,0,3.2,0
181,Acik,11,1,0,5.7,0
424,Acik,5,0,1,4.9,1
615,Acik,7,1,0,7.1,0
251,Acik,4,0,0,2.5,0
681,Acik,33,3,0,3.7,1
111,Acik,53,1,0,8.0,0
329,Acik,17,2,0,8.4,0
336,Acik,25,1,0,8.5,0
375,Acik,30,2,1,7.3,0
277,Acik,46,0,1,7.5,0
317,Yagmurlu,51,0,0,5.2,0
109,Acik,2,0,0,1.1,0
577,Karli,9,0,0,1.2,1
458,Acik,15,3,0,4.5,1
308,Acik,8,2,0,4.7,0
466,Acik,12,1,1,2.0,1
589,Acik,21,1,1,2.2,0
371,Acik,20,1,0,4.0,0
863,Yagmurlu,29,1,1,17.9,1
393,Karli,16,2,0,1.7,1
124,Acik,1,1,0,3.1,0
297,Acik,11,2,0,8.3,0
478,Yagmurlu,19,0,0,7.2,0
590,Acik,31,3,0,5.5,1
281,Acik,28,0,1,0.6,0
116,Yagmurlu,14,1,0,3.5,0
209,Acik,9,2,0,14.7,0
75,Yagmurlu,15,0,0,2.1,0
420,Acik,3,0,1,2.0,1
179,Acik,10,1,0,12.4,0
141,Acik,35,1,1,4.0,0
448,Yagmurlu,14,3,1,0.7,1
672,Acik,20,2,0,1.5,1
140,Yagmurlu,4,1,0,2.6,1
282,Yagmurlu,30,3,0,5.3,1
216,Yagmurlu,13,1,1,3.6,0
607,Acik,19,2,0,1.9,1
235,Acik,23,0,0,3.7,0
106,Acik,30,1,0,2.1,0
244,Acik,17,0,0,15.3,0
526,Karli,14,0,1,1.4,1
207,Acik,5,2,1,2.9,1
153,Yagmurlu,4,0,0,2.5,1
227,Acik,17,1,0,2.6,0
109,Acik,19,1,0,1.6,0
216,Acik,22,0,1,11.7,0
162,Yagmurlu,7,1,0,18.9,0
964,Acik,10,1,1,5.8,1
38,Acik,17,2,0,5.4,1
123,Yagmurlu,11,0,0,0.9,0
153,Acik,60,3,1,11.5,1
110,Acik,9,2,0,2.1,0
332,Acik,20,1,0,0.8,0
138,Acik,27,1,0,6.6,0
67,Acik,28,2,0,9.4,0
264,Acik,10,2,1,11.4,1
198,Yagmurlu,23,0,1,2.9,1
144,Acik,21,3,1,2.6,1
598,Acik,23,3,0,5.1,1
339,Acik,17,1,0,3.6,0
314,Acik,27,2,1,6.7,0
345,Acik,18,1,0,5.1,0
333,Acik,5,2,1,1.9,1
205,Acik,18,2,0,11.7,0
140,Acik,19,0,0,6.7,0
269,Karli,26,0,0,9.2,1
203,Yagmurlu,17,0,0,2.0,0
37,Acik,47,3,0,6.6,0
102,Acik,14,1,0,8.0,0
183,Acik,10,2,0,5.0,0
455,Yagmurlu,38,1,0,1.6,0
269,Acik,14,0,0,4.6,0
120,Acik,16,3,0,7.4,0
94,Acik,19,1,1,9.7,0
520,Acik,18,1,0,1.0,0
213,Acik,23,0,1,4.9,0
10,Yagmurlu,25,0,1,1.2,1
223,Karli,9,0,0,7.5,1
391,Acik,6,1,0,9.0,0
91,Acik,6,1,1,1.8,0
255,Acik,35,0,0,1.5,0
273,Acik,13,0,1,2.5,0
96,Acik,27,0,0,3.8,0
551,Acik,25,1,0,2.2,0
276,Yagmurlu,16,3,0,8.0,0
183,Karli,7,1,0,9.7,1
214,Yagmurlu,26,0,1,4.7,1
80,Yagmurlu,15,1,0,2.3,0
77,Acik,5,3,1,3.7,1
169,Acik,11,2,0,4.7,0
178,Acik,4,2,1,3.5,1
203,Acik,11,3,1,4.0,1
583,Acik,16,1,0,9.2,0
377,Yagmurlu,14,3,0,2.2,0
44,Acik,13,0,1,16.2,0
513,Acik,16,2,1,4.8,1
168,Acik,22,2,0,3.4,0
402,Karli,28,3,0,2.1,1
179,Acik,31,1,1,2.3,0
263,Acik,8,2,0,4.4,0
86,Acik,33,0,0,4.8,0
306,Yagmurlu,15,1,0,3.3,0
433,Karli,12,1,0,1.2,0
54,Acik,7,1,1,4.4,0
437,Karli,21,1,0,2.3,0
139,Acik,21,0,1,0.7,0
706,Yagmurlu,10,0,0,6.9,1
407,Acik,10,0,0,0.8,0
360,Acik,14,1,0,3.1,0
215,Yagmurlu,12,1,0,3.9,0
1076,Acik,8,2,1,10.7,1
169,Acik,6,0,0,0.7,0
104,Yagmurlu,33,2,1,7.5,1
143,Karli,11,1,0,8.3,0
486,Acik,20,0,0,13.0,0
260,Yagmurlu,23,0,0,9.5,0
233,Yagmurlu,21,1,1,4.1,1
171,Acik,24,1,0,7.7,0
224,Yagmurlu,21,0,0,11.0,0
162,Acik,9,0,0,0.5,0
384,Yagmurlu,12,0,0,1.2,0
200,Acik,33,0,0,5.2,0
145,Acik,10,0,0,8.3,0
459,Acik,16,2,1,6.7,1
107,Acik,22,1,0,5.6,0
262,Yagmurlu,41,1,0,12.9,0
37,Karli,31,1,0,3.3,0
71,Acik,7,1,1,2.2,0
184,Acik,20,0,0,2.7,0
160,Acik,18,0,0,5.3,0
159,Acik,12,0,1,3.9,0
409,Acik,16,1,0,8.6,0
425,Yagmurlu,9,1,0,2.4,0
300,Yagmurlu,14,1,0,5.8,0
102,Acik,10,1,0,7.7,0
223,Acik,17,3,1,11.0,1
770,Yagmurlu,12,0,1,1.4,0
1010,Acik,43,1,1,2.7,1
462,Acik,17,1,1,3.7,1
105,Acik,15,2,1,1.0,0
224,Acik,13,2,0,5.5,0
286,Acik,12,2,0,5.5,0
256,Yagmurlu,5,0,0,5.1,1
494,Acik,27,1,1,3.5,1
397,Acik,38,2,1,10.2,1
100,Acik,10,1,1,2.8,0
148,Yagmurlu,33,3,0,9.5,0
461,Acik,60,1,0,2.7,0
596,Acik,52,1,1,1.4,1
289,Acik,36,1,0,4.1,0
644,Acik,6,1,0,4.7,1
266,Acik,6,2,0,5.9,1
116,Yagmurlu,24,0,0,0.3,0
373,Acik,16,1,0,3.2,0
1200,Acik,2,1,1,15.4,1
81,Acik,11,2,1,2.5,1
628,Yagmurlu,23,1,0,8.3,1
359,Yagmurlu,14,3,0,26.3,1
141,Yagmurlu,16,2,1,17.3,1
38,Acik,6,0,0,1.6,0
23,Yagmurlu,11,2,0,7.8,0
159,Yagmurlu,24,3,0,8.2,1
320,Acik,11,0,0,6.9,0
439,Acik,34,1,0,1.4,0
507,Yagmurlu,16,0,1,5.1,0
301,Acik,21,1,0,5.0,0
269,Yagmurlu,24,0,0,1.2,0
188,Acik,23,2,0,3.4,0
326,Acik,7,1,1,5.2,0
143,Acik,8,1,0,4.0,1
85,Yagmurlu,2,0,0,7.3,0
257,Yagmurlu,12,1,0,3.3,1
416,Acik,8,1,1,4.7,0
69,Acik,11,1,1,8.7,0
159,Acik,13,0,0,14.1,0
250,Acik,17,0,0,1.3,0
246,Karli,14,1,0,7.1,0
353,Acik,14,3,1,2.9,1
756,Acik,20,0,1,5.9,1
23,Acik,15,1,1,1.2,0
778,Karli,28,0,0,10.4,1
735,Acik,15,2,0,2.1,1
443,Yagmurlu,41,0,0,8.8,0
285,Acik,7,1,1,1.4,0
145,Acik,12,1,0,1.0,0
440,Yagmurlu,9,0,0,3.6,0
295,Acik,18,0,1,5.1,0
191,Yagmurlu,7,1,0,18.4,0
432,Acik,4,1,1,5.0,1
483,Yagmurlu,8,3,0,1.6,1
